Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
126;0;0;0;0;1;1;1;0;1;1;1;1;0;1;8;126;96;357;0,6258278146;5,35;0,60;;;;;;;
127;0;1;0;1;1;0;1;1;0;0;1;1;0;1;8;127;258;120;0,6101750908;5,63;0,74;;;;;;;
128;1;1;1;0;0;1;0;0;0;1;1;1;1;0;8;128;81;88;0,6587143804;5,52;0,51;;;;;;;
129;1;1;1;1;0;0;0;0;1;1;0;1;1;0;8;129;40;353;0,7008973081;5,15;0,65;;;;;;;
130;1;0;0;1;0;1;0;1;1;0;1;1;0;1;8;130;106;95;0,6227663799;5,61;0,47;;;;;;;
131;0;1;1;1;1;0;1;0;0;1;1;0;1;0;8;131;112;99;0,6908602151;5,55;0,82;;;;;;;
132;1;0;1;1;1;0;0;0;1;1;0;0;1;1;8;132;228;129;0,6868754164;5,79;0,61;;;;;;;
133;1;0;0;0;1;0;0;1;0;1;1;1;1;1;8;133;262;26;0,634840871;5,67;0,46;;;;;;;
134;1;0;0;1;0;0;1;1;1;1;0;1;0;1;8;134;185;133;0,6220159151;6,15;0,63;;;;;;;
135;1;0;1;1;1;0;1;0;0;1;0;1;0;1;8;135;28;334;0,7093791281;5,85;0,64;;;;;;;
136;1;1;0;1;0;0;1;0;1;1;0;1;1;0;8;136;243;216;0,6651038178;5,52;0,57;;;;;;;
137;0;0;1;1;1;0;1;1;0;1;0;1;0;1;8;137;13;351;0,6965655218;5,99;0,35;;;;;;;
138;1;0;1;1;1;1;1;0;0;0;0;0;1;1;8;138;249;140;0,7023411371;6,27;0,52;;;;;;;
139;1;1;1;1;0;0;1;1;0;1;0;0;1;0;8;139;346;100;0,7209302326;5,71;0,51;;;;;;;
140;1;0;1;1;0;1;0;1;0;0;1;1;0;1;8;140;179;243;0,5757374876;5,82;0,48;;;;;;;
141;0;0;1;1;1;0;1;0;1;0;1;1;0;1;8;141;45;134;0,6425024826;5,48;0,50;;;;;;;
142;1;0;1;0;0;1;1;1;0;1;1;0;1;0;8;142;342;11;0,5959933222;5,73;0,47;;;;;;;
143;0;1;0;0;0;0;1;0;1;1;1;1;1;1;8;143;291;329;0,6665566193;5,52;0,77;;;;;;;
144;0;0;1;1;1;0;1;0;1;1;0;0;1;1;8;144;73;162;0,6705882353;5,96;0,53;;;;;;;
145;1;1;0;1;1;0;0;0;1;0;1;1;0;1;8;145;149;341;0,6868686869;5,37;0,61;;;;;;;
146;0;0;1;0;0;0;1;1;1;1;1;1;1;0;8;146;324;146;0,5919732441;5,73;0,49;;;;;;;
